timestamp,action,symbol,underlying,type,contracts,price,pnl,reason
2026-06-01T17:33:02.637313+00:00,CLOSE,IWM260601C00288000,IWM,call,2,1.7149999999999999,243.0,Trailing stop hit
2026-06-01T17:33:02.637766+00:00,CLOSE,QQQ260601C00740000,QQQ,call,2,3.21,240.0,Trailing stop hit
2026-06-01T17:33:02.638093+00:00,CLOSE,SPY260601C00756000,SPY,call,2,2.1550000000000002,169.0,Trailing stop hit
2026-06-04T18:00:03.986763+00:00,OPEN,QQQ260604C00742000,QQQ,call,2,1.16,0,Entry
2026-06-04T18:00:06.042437+00:00,OPEN,IWM260604C00292000,IWM,call,2,0.28500000000000003,0,Entry
2026-06-04T18:15:02.394767+00:00,CLOSE,IWM260604C00292000,IWM,call,2,0.415,26.0,Trailing stop hit
2026-06-04T18:15:04.943869+00:00,OPEN,IWM260604C00292000,IWM,call,2,0.435,0,Entry
2026-06-04T18:16:01.881529+00:00,CLOSE,QQQ260604C00742000,QQQ,call,2,1.46,60.0,Trailing stop hit
2026-06-04T18:34:02.122547+00:00,CLOSE,IWM260604C00292000,IWM,call,2,0.715,56.0,Trailing stop hit
2026-06-05T18:00:03.575084+00:00,OPEN,SPY260605P00744000,SPY,put,2,0.775,0,Entry
2026-06-05T18:00:05.434434+00:00,OPEN,QQQ260605P00715000,QQQ,put,2,0.925,0,Entry
2026-06-05T18:00:06.724533+00:00,OPEN,IWM260605P00284000,IWM,put,2,0.5800000000000001,0,Entry
2026-06-05T18:08:01.447924+00:00,CLOSE,SPY260605P00744000,SPY,put,2,1.375,120.0,Trailing stop hit
2026-06-05T18:08:01.777492+00:00,CLOSE,QQQ260605P00715000,QQQ,put,2,1.73,161.0,Trailing stop hit
2026-06-05T18:08:02.093426+00:00,CLOSE,IWM260605P00284000,IWM,put,2,0.9099999999999999,66.0,Trailing stop hit
2026-06-05T18:08:04.505985+00:00,OPEN,SPY260605P00744000,SPY,put,2,1.345,0,Entry
2026-06-05T18:08:05.794301+00:00,OPEN,QQQ260605P00716000,QQQ,put,2,2.3,0,Entry
2026-06-05T18:08:07.043831+00:00,OPEN,IWM260605P00284000,IWM,put,2,0.905,0,Entry
2026-06-05T18:18:01.667741+00:00,CLOSE,SPY260605P00744000,SPY,put,2,2.685,268.0,Trailing stop hit
2026-06-05T18:18:01.941427+00:00,CLOSE,IWM260605P00284000,IWM,put,2,1.355,90.0,Trailing stop hit
2026-06-05T18:18:04.123107+00:00,OPEN,SPY260605P00743000,SPY,put,2,2.0044999999999997,0,Entry
2026-06-05T18:18:05.320260+00:00,OPEN,IWM260605P00283000,IWM,put,2,0.725,0,Entry
2026-06-05T18:35:01.617968+00:00,CLOSE,IWM260605P00283000,IWM,put,2,1.0550000000000002,66.0,Trailing stop hit
2026-06-05T18:37:01.574540+00:00,CLOSE,SPY260605P00743000,SPY,put,2,2.76,151.1,Trailing stop hit
2026-06-05T18:50:01.779338+00:00,CLOSE,QQQ260605P00716000,QQQ,put,2,7.475,1035.0,Trailing stop hit
2026-06-08T18:00:04.284930+00:00,OPEN,SPY260608P00741000,SPY,put,2,0.925,0,Entry
2026-06-08T18:00:05.964545+00:00,OPEN,IWM260608P00285000,IWM,put,2,0.745,0,Entry
2026-06-08T18:05:01.665587+00:00,CLOSE,IWM260608P00285000,IWM,put,2,0.505,-48.0,Stop loss hit
2026-06-08T18:05:04.365596+00:00,OPEN,IWM260608P00285000,IWM,put,2,0.535,0,Entry
2026-06-08T18:07:02.111030+00:00,CLOSE,SPY260608P00741000,SPY,put,2,0.475,-90.0,Stop loss hit
2026-06-08T18:07:04.522216+00:00,OPEN,SPY260608P00742000,SPY,put,2,0.885,0,Entry
2026-06-08T18:10:04.014684+00:00,OPEN,TSLA260608C00410000,TSLA,call,2,2.215,0,Entry
2026-06-08T18:14:01.813247+00:00,CLOSE,SPY260608P00742000,SPY,put,2,1.23,69.0,Trailing stop hit
2026-06-08T18:14:04.017547+00:00,OPEN,SPY260608P00741000,SPY,put,2,0.745,0,Entry
2026-06-08T18:26:01.711523+00:00,CLOSE,IWM260608P00285000,IWM,put,2,0.305,-46.0,Stop loss hit
2026-06-08T18:26:01.920472+00:00,CLOSE,SPY260608P00741000,SPY,put,2,0.515,-46.0,Stop loss hit
2026-06-08T18:26:04.447609+00:00,OPEN,SPY260608P00741000,SPY,put,2,0.495,0,Entry
2026-06-08T18:26:05.820884+00:00,OPEN,IWM260608P00285000,IWM,put,2,0.355,0,Entry
2026-06-08T18:31:01.616664+00:00,CLOSE,SPY260608P00741000,SPY,put,2,0.33499999999999996,-32.0,Stop loss hit
2026-06-08T18:31:04.083630+00:00,OPEN,SPY260608P00742000,SPY,put,2,0.685,0,Entry
2026-06-08T18:35:04.339913+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,1.3550000000000002,0,Entry
2026-06-08T18:40:01.599792+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.78,-115.0,Stop loss hit
2026-06-08T18:40:04.122146+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,0.8049999999999999,0,Entry
2026-06-08T18:43:02.414418+00:00,CLOSE,SPY260608P00742000,SPY,put,2,1.28,119.0,Trailing stop hit
2026-06-08T18:43:04.702543+00:00,OPEN,SPY260608P00742000,SPY,put,2,1.285,0,Entry
2026-06-08T18:46:02.386334+00:00,CLOSE,IWM260608P00285000,IWM,put,2,0.535,36.0,Trailing stop hit
2026-06-08T18:46:04.595398+00:00,OPEN,IWM260608C00285000,IWM,call,2,0.305,0,Entry
2026-06-08T18:59:02.375714+00:00,CLOSE,IWM260608C00285000,IWM,call,2,0.20500000000000002,-20.0,Stop loss hit
2026-06-08T18:59:04.502830+00:00,OPEN,IWM260608C00285000,IWM,call,2,0.21500000000000002,0,Entry
2026-06-08T19:02:01.607249+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.445,-72.0,Stop loss hit
2026-06-08T19:02:03.850752+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,0.43500000000000005,0,Entry
2026-06-08T19:08:02.271483+00:00,CLOSE,TSLA260608C00410000,TSLA,call,2,1.54,-135.0,Stop loss hit
2026-06-08T19:09:02.469310+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.275,-32.0,Stop loss hit
2026-06-08T19:09:04.912326+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,0.275,0,Entry
2026-06-08T19:10:01.906840+00:00,CLOSE,IWM260608C00285000,IWM,call,2,0.135,-16.0,Stop loss hit
2026-06-08T19:10:04.506330+00:00,OPEN,IWM260608C00285000,IWM,call,2,0.115,0,Entry
2026-06-08T19:11:02.373131+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.185,-18.0,Stop loss hit
2026-06-08T19:11:04.746885+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,0.17500000000000002,0,Entry
2026-06-08T19:14:02.264017+00:00,CLOSE,SPY260608P00742000,SPY,put,2,2.28,199.0,Trailing stop hit
2026-06-08T19:14:04.922886+00:00,OPEN,SPY260608P00742000,SPY,put,2,2.34,0,Entry
2026-06-08T19:15:01.917041+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.10500000000000001,-14.0,Stop loss hit
2026-06-08T19:15:04.766392+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,0.12499999999999999,0,Entry
2026-06-08T19:16:01.692385+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.07500000000000001,-10.0,Stop loss hit
2026-06-08T19:16:04.187337+00:00,OPEN,QQQ260608C00719000,QQQ,call,2,0.075,0,Entry
2026-06-08T19:17:02.096767+00:00,CLOSE,IWM260608C00285000,IWM,call,2,0.05,-13.0,Stop loss hit
2026-06-08T19:17:04.447895+00:00,OPEN,IWM260608C00285000,IWM,call,2,0.065,0,Entry
2026-06-08T19:23:02.192930+00:00,CLOSE,QQQ260608C00719000,QQQ,call,2,0.035,-8.0,Stop loss hit
2026-06-08T19:23:02.396877+00:00,CLOSE,IWM260608C00285000,IWM,call,2,0.07500000000000001,2.0,Trailing stop hit
2026-06-08T19:23:05.157143+00:00,OPEN,QQQ260608C00718000,QQQ,call,2,0.12499999999999999,0,Entry
2026-06-08T19:23:06.280074+00:00,OPEN,IWM260608C00285000,IWM,call,2,0.075,0,Entry
2026-06-08T19:24:02.129595+00:00,CLOSE,QQQ260608C00718000,QQQ,call,2,0.065,-12.0,Stop loss hit
2026-06-08T19:24:04.581857+00:00,OPEN,QQQ260608C00718000,QQQ,call,2,0.115,0,Entry
2026-06-08T19:26:01.506809+00:00,CLOSE,IWM260608C00285000,IWM,call,2,0.030000000000000002,-9.0,Stop loss hit
2026-06-08T19:26:01.701299+00:00,CLOSE,QQQ260608C00718000,QQQ,call,2,0.065,-10.0,Stop loss hit
2026-06-08T19:26:04.497502+00:00,OPEN,QQQ260608C00718000,QQQ,call,2,0.09499999999999999,0,Entry
2026-06-08T19:26:05.729621+00:00,OPEN,IWM260608C00285000,IWM,call,2,0.055,0,Entry
2026-06-08T19:27:01.601085+00:00,CLOSE,SPY260608P00742000,SPY,put,2,3.355,203.0,Trailing stop hit
2026-06-08T19:27:04.045929+00:00,OPEN,SPY260608P00742000,SPY,put,2,3.385,0,Entry
2026-06-08T19:32:02.368008+00:00,CLOSE,SPY260608P00742000,SPY,put,2,2.29,-219.0,Stop loss hit
2026-06-08T19:33:01.513638+00:00,CLOSE,IWM260608C00285000,IWM,call,2,0.07500000000000001,4.0,Trailing stop hit
2026-06-08T19:34:01.621773+00:00,CLOSE,QQQ260608C00718000,QQQ,call,2,0.20500000000000002,22.0,Trailing stop hit
2026-06-09T18:20:03.858599+00:00,OPEN,SPY260609C00734000,SPY,call,2,1.92,0,Entry
2026-06-09T18:30:04.568965+00:00,OPEN,QQQ260609C00704000,QQQ,call,2,2.5599999999999996,0,Entry
2026-06-09T18:30:06.532306+00:00,OPEN,IWM260609C00284000,IWM,call,2,1.015,0,Entry
2026-06-09T18:45:01.963063+00:00,CLOSE,QQQ260609C00704000,QQQ,call,2,1.665,-179.0,Stop loss hit
2026-06-09T18:45:04.730859+00:00,OPEN,QQQ260609C00704000,QQQ,call,2,1.8350000000000002,0,Entry
2026-06-09T18:55:02.041706+00:00,CLOSE,QQQ260609C00704000,QQQ,call,2,2.37,107.0,Trailing stop hit
2026-06-09T18:55:04.125510+00:00,OPEN,QQQ260609C00704000,QQQ,call,2,2.3149999999999995,0,Entry
2026-06-09T19:01:02.299961+00:00,CLOSE,SPY260609C00734000,SPY,call,2,2.915,199.0,Trailing stop hit
2026-06-09T19:01:02.492657+00:00,CLOSE,IWM260609C00284000,IWM,call,2,1.29,55.0,Trailing stop hit
2026-06-09T19:01:02.665636+00:00,CLOSE,QQQ260609C00704000,QQQ,call,2,3.085,154.0,Trailing stop hit
2026-06-09T19:01:05.541053+00:00,OPEN,SPY260609C00735000,SPY,call,2,2.1499999999999995,0,Entry
2026-06-09T19:01:06.665333+00:00,OPEN,QQQ260609C00704000,QQQ,call,2,3.13,0,Entry
2026-06-09T19:01:07.736316+00:00,OPEN,IWM260609C00284000,IWM,call,2,1.25,0,Entry
2026-06-09T19:12:01.727785+00:00,CLOSE,QQQ260609C00704000,QQQ,call,2,2.06,-214.0,Stop loss hit
2026-06-09T19:12:03.810091+00:00,OPEN,QQQ260609C00704000,QQQ,call,2,2.245,0,Entry
