timestamp,action,symbol,qty,price,pnl,reason
2026-06-08T18:00:03.337329+00:00,OPEN,TSLA,0.10503976191637801,409.94,0.0,Entry signal
2026-06-08T18:00:03.705976+00:00,OPEN,NVDA,0.20623593083959962,208.79,0.0,Entry signal
2026-06-08T18:25:02.948854+00:00,OPEN,QQQ,0.05987707539561143,719.14,0.0,Entry signal
2026-06-08T18:30:02.425110+00:00,OPEN,IWM,0.15099765052424868,285.17,0.0,Entry signal
2026-06-08T19:50:01.927732+00:00,CLOSE,TSLA,0.10503976191637801,408.73,-0.13,EOD force close
2026-06-08T19:50:02.305887+00:00,CLOSE,NVDA,0.20623593083959962,207.895,-0.18,EOD force close
2026-06-08T19:50:02.641763+00:00,CLOSE,QQQ,0.05987707539561143,715.99,-0.19,EOD force close
2026-06-08T19:50:03.087247+00:00,CLOSE,IWM,0.15099765052424868,284.51,-0.1,EOD force close
2026-06-09T18:00:03.026759+00:00,OPEN,NVDA,0.20684777837389648,205.03,0.0,Entry signal
2026-06-09T18:10:02.838702+00:00,OPEN,SPY,0.0578115841273736,733.59,0.0,Entry signal
2026-06-09T18:20:03.017275+00:00,OPEN,QQQ,0.06027658153185803,703.59,0.0,Entry signal
2026-06-09T18:20:03.347720+00:00,OPEN,IWM,0.14925740831984233,284.14,0.0,Entry signal
2026-06-09T18:55:02.737641+00:00,OPEN,TSLA,0.10696630347054074,396.48,0.0,Entry signal
2026-06-09T19:50:02.488006+00:00,CLOSE,NVDA,0.20684777837389648,205.9,0.18,EOD force close
2026-06-09T19:50:02.850443+00:00,CLOSE,SPY,0.0578115841273736,733.52,-0.0,EOD force close
2026-06-09T19:50:03.277548+00:00,CLOSE,QQQ,0.06027658153185803,703.18,-0.02,EOD force close
2026-06-09T19:50:03.614184+00:00,CLOSE,IWM,0.14925740831984233,284.095,-0.01,EOD force close
2026-06-09T19:50:03.973104+00:00,CLOSE,TSLA,0.10696630347054074,395.685,-0.09,EOD force close
2026-06-11T15:15:03.291370+00:00,OPEN,IWM,0.12751607492311992,286.16,0.0,Entry signal
2026-06-11T15:25:02.313478+00:00,OPEN,TSLA,0.1309983844911147,386.875,0.0,Entry signal
2026-06-11T16:10:03.522850+00:00,OPEN,QQQ,0.05530727060042831,702.6201,0.0,Entry signal
2026-06-11T16:15:03.307167+00:00,OPEN,SPY,0.05324746505892025,729.8,0.0,Entry signal
2026-06-11T17:35:03.374768+00:00,OPEN,NVDA,0.12650483520821,202.68,0.0,Entry signal
2026-06-11T19:50:02.606393+00:00,CLOSE,IWM,0.12751607492311992,290.115,0.5,EOD force close
2026-06-11T19:50:03.184195+00:00,CLOSE,TSLA,0.1309983844911147,397.2533,1.36,EOD force close
2026-06-11T19:50:03.727023+00:00,CLOSE,QQQ,0.05530727060042831,715.67,0.72,EOD force close
2026-06-11T19:50:04.311000+00:00,CLOSE,SPY,0.05324746505892025,738.13,0.44,EOD force close
2026-06-11T19:50:04.777009+00:00,CLOSE,NVDA,0.12650483520821,204.59,0.24,EOD force close
2026-06-12T15:15:03.010898+00:00,OPEN,NVDA,0.15043132693612485,206.34,0.0,Entry signal
2026-06-12T15:15:03.592839+00:00,OPEN,SPY,0.041772645914920525,743.07,0.0,Entry signal
2026-06-12T15:15:04.035781+00:00,OPEN,QQQ,0.04296491106650979,722.45,0.0,Entry signal
2026-06-12T15:15:04.536236+00:00,OPEN,IWM,0.10517399112255615,295.13,0.0,Entry signal
2026-06-12T15:20:03.016854+00:00,OPEN,TSLA,0.07793512102038767,398.28,0.0,Entry signal
2026-06-12T15:57:25.043687+00:00,CLOSE,TSLA,0.07793512102038767,390.2617,-0.62,Stop loss
2026-06-12T15:57:25.105792+00:00,CLOSE,TSLA,0.07793512102038767,390.2617,-0.62,Stop loss
2026-06-12T15:57:25.116285+00:00,CLOSE,TSLA,0.07793512102038767,390.285,-0.62,Stop hit
2026-06-12T15:57:25.169145+00:00,CLOSE,TSLA,0.07793512102038767,390.2617,-0.62,Stop hit
2026-06-12T15:57:25.235466+00:00,CLOSE,TSLA,0.07793512102038767,390.2617,-0.62,Stop loss
2026-06-12T15:57:25.312278+00:00,CLOSE,TSLA,0.07793512102038767,390.2617,-0.62,Stop hit
2026-06-12T19:50:14.555688+00:00,CLOSE,NVDA,0.15043132693612485,204.48,-0.28,EOD force close
2026-06-12T19:50:14.945893+00:00,CLOSE,SPY,0.041772645914920525,741.085,-0.08,EOD force close
2026-06-12T19:50:15.289871+00:00,CLOSE,QQQ,0.04296491106650979,721.1899,-0.05,EOD force close
2026-06-12T19:50:15.656782+00:00,CLOSE,IWM,0.10517399112255615,293.05,-0.22,EOD force close
